entity_id,entity_type,home_city,home_country,typical_resources,usual_ips,active_hours,avg_session_minutes,device_os,device_mac,protocol
u_0001,user,London,UK,dashboard:grafana;files/reports/Q1.xlsx;repo:frontend-app,140.44.216.9;8.47.111.60;130.13.101.184,20-5,14.62,Ubuntu 24.04,E5:8E:03:51:D8:AE,MQTT
u_0002,user,Paris,France,files/reports/Q1.xlsx;file:/home/shared/contracts;/api/v1/orders;email:exchange-server,118.63.193.21;142.150.185.148;50.35.23.170,8-15,11.85,Ubuntu 24.04,94:28:77:33:C2:8E,Modbus/TCP
u_0003,user,Sydney,Australia,file:/home/shared/contracts;endpoint:/api/v2/refunds;endpoint:/admin/config;repo:frontend-app,44.125.83.119;98.138.112.176;84.28.117.211,6-15,30.53,iOS 18,21:6C:A1:6C:FF:CA,SFTP
u_0004,user,Dubai,UAE,dashboard:grafana;repo:frontend-app;dashboard:kibana;bucket:s3-backups,93.112.70.131;127.46.24.221,9-18,23.74,Windows 10,4E:51:D8:20:C5:C3,RDP
u_0005,user,Dubai,UAE,/api/v1/users;endpoint:/api/v2/refunds;repo:frontend-app;/api/v1/orders;printer:office_3;dashboard:kibana;endpoint:/admin/config,112.80.232.1;185.134.91.130,8-15,39.25,iOS 18,65:4E:BF:52:00:A5,Modbus/TCP
u_0006,user,New York,USA,dashboard:grafana;/api/v1/users;files/hr/payroll.csv,125.35.64.33;169.243.84.68;136.216.108.238,6-13,11.45,FirmwareOS 4.0,66:9F:CC:BF:E0:E7,HTTPS
u_0007,user,Delhi,India,/api/v1/users;endpoint:/api/v2/payments;dashboard:kibana;files/hr/payroll.csv,162.30.117.18;9.169.36.132;61.142.248.55,6-13,6.45,EmbeddedLinux 5.1,F2:7C:F2:D0:61:30,HTTPS
u_0008,user,Moscow,Russia,printer:office_3;bucket:s3-backups;repo:frontend-app;/api/v1/users;endpoint:/api/v2/refunds,187.173.55.64;50.97.229.36,6-13,18.09,RHEL 9,5D:8E:EC:7F:26:E2,RDP
u_0009,user,London,UK,dashboard:grafana;files/reports/Q1.xlsx;file:/home/shared/contracts,43.194.1.253,7-15,4.35,FirmwareOS 3.2,92:D8:F9:4F:61:97,SSH
u_0010,user,Los Angeles,USA,endpoint:/api/v2/refunds;/api/v1/users;printer:office_3;endpoint:/api/v2/payments;dashboard:grafana;dashboard:kibana;vpn:gateway_1,153.34.120.104,6-13,36.52,Windows 10,7E:14:29:D6:A1:85,SSH
u_0011,user,Tokyo,Japan,endpoint:/admin/config;endpoint:/api/v2/refunds;printer:office_3;vpn:gateway_1,160.51.37.138;55.135.67.239,6-13,19.8,Ubuntu 24.04,BD:91:50:E0:9A:04,SFTP
u_0012,user,Cape Town,South Africa,dashboard:kibana;/api/v1/orders;printer:office_3;repo:frontend-app;vpn:gateway_1,184.175.104.176,8-17,25.07,iOS 18,FA:80:1A:2F:D8:8D,HTTPS
u_0013,user,New York,USA,dashboard:kibana;files/reports/Q1.xlsx;repo:frontend-app;dashboard:grafana;vpn:gateway_1,177.76.18.214,6-13,13.36,RHEL 9,41:15:9D:BA:14:B7,SSH
u_0014,user,Delhi,India,bucket:s3-backups;endpoint:/api/v2/payments;repo:frontend-app,106.12.91.189,7-14,31.29,Android 15,D2:7F:88:51:37:C3,HTTPS
u_0015,user,Toronto,Canada,repo:frontend-app;endpoint:/admin/config;bucket:s3-backups;repo:backend-service,50.204.168.72;222.35.142.90;165.204.169.241,7-14,42.17,iOS 18,5B:87:13:37:DE:B0,SFTP
u_0016,user,Tokyo,Japan,file:/home/shared/contracts;endpoint:/admin/config;/api/v1/users;repo:frontend-app;vpn:gateway_1;bucket:s3-backups,18.169.160.170;218.63.153.130,7-15,25.53,iOS 18,D1:A7:CE:97:41:62,Modbus/TCP
u_0017,user,Sao Paulo,Brazil,/api/v1/users;endpoint:/admin/config;printer:office_3;files/hr/payroll.csv,114.109.242.204;204.86.43.73,8-16,7.91,Android 15,2F:78:9E:73:65:4B,HTTPS
u_0018,user,Los Angeles,USA,files/reports/Q1.xlsx;dashboard:grafana;file:/home/shared/contracts;endpoint:/api/v2/refunds,63.75.2.229;193.54.217.57,9-17,20.63,macOS 15,ED:19:7F:3E:E9:44,Modbus/TCP
u_0019,user,Lagos,Nigeria,bucket:s3-backups;vpn:gateway_1;dashboard:kibana;dashboard:grafana;files/reports/Q1.xlsx;repo:backend-service;endpoint:/api/v2/refunds,197.248.122.71;113.39.146.61,7-16,20.81,FirmwareOS 4.0,29:46:4D:76:C4:4E,SFTP
u_0020,user,Mumbai,India,endpoint:/api/v2/refunds;dashboard:kibana;dashboard:grafana,198.10.194.123;2.180.152.193,7-15,30.7,RHEL 9,D6:70:F9:70:8B:DF,Modbus/TCP
u_0021,user,New York,USA,repo:backend-service;repo:frontend-app;files/reports/Q1.xlsx;dashboard:grafana;bucket:s3-backups;endpoint:/api/v2/payments,170.13.42.165;110.69.236.47;13.133.194.84,9-18,24.12,RHEL 9,8E:D7:81:29:F0:09,SFTP
u_0022,user,Cape Town,South Africa,files/reports/Q1.xlsx;repo:backend-service;endpoint:/api/v2/refunds,64.102.10.160,20-5,30.64,macOS 15,7A:40:F2:3A:6F:EE,SFTP
u_0023,user,Bangalore,India,files/hr/payroll.csv;repo:backend-service;bucket:s3-backups;files/reports/Q1.xlsx;endpoint:/admin/config,80.192.203.242,20-5,21.13,Ubuntu 24.04,34:9A:3D:15:B1:DB,SFTP
u_0024,user,Sydney,Australia,bucket:s3-backups;vpn:gateway_1;dashboard:grafana,163.235.78.112;46.138.247.120,20-5,18.12,RHEL 9,89:A5:7D:2C:8E:E6,SSH
u_0025,user,Dubai,UAE,/api/v1/users;dashboard:grafana;bucket:s3-backups;email:exchange-server;files/reports/Q1.xlsx;printer:office_3;files/hr/payroll.csv,153.141.5.133;49.43.123.185,8-16,11.41,Ubuntu 24.04,F3:FB:E5:08:2F:96,SSH
u_0026,user,Sao Paulo,Brazil,repo:frontend-app;dashboard:grafana;dashboard:kibana;bucket:s3-backups,117.138.156.65;60.61.98.81;31.94.98.56,8-16,29.06,FirmwareOS 3.2,8D:90:33:63:97:74,MQTT
u_0027,user,Berlin,Germany,endpoint:/admin/config;vpn:gateway_1;/api/v1/users;bucket:s3-backups;dashboard:kibana,27.6.145.121;123.225.174.48,7-16,29.45,FirmwareOS 3.2,3A:21:CD:FB:25:1B,SSH
u_0028,user,Paris,France,dashboard:grafana;/api/v1/orders;dashboard:kibana;repo:backend-service;file:/home/shared/contracts;endpoint:/api/v2/payments;endpoint:/api/v2/refunds,116.226.152.221;151.219.156.146,7-16,20.36,EmbeddedLinux 5.1,1E:32:6A:6C:87:29,SSH
u_0029,user,Delhi,India,/api/v1/users;file:/home/shared/contracts;dashboard:grafana;repo:frontend-app,74.144.232.19,8-15,13.3,EmbeddedLinux 5.1,65:D9:3A:73:4C:88,SSH
u_0030,user,Chicago,USA,endpoint:/api/v2/payments;dashboard:grafana;/api/v1/orders,70.252.224.21;154.20.221.189,8-17,1.04,Android 15,80:0D:2E:75:0A:89,RDP
u_0031,user,Los Angeles,USA,printer:office_3;vpn:gateway_1;endpoint:/admin/config;files/reports/Q1.xlsx,24.240.178.105;86.164.53.220,9-18,27.47,FirmwareOS 3.2,93:CD:12:E8:2D:A1,MQTT
u_0032,user,Tokyo,Japan,/api/v1/users;endpoint:/api/v2/refunds;bucket:s3-backups,133.185.255.161,9-16,30.72,FirmwareOS 3.2,1A:68:88:43:93:E0,SFTP
u_0033,user,Toronto,Canada,dashboard:grafana;repo:frontend-app;files/reports/Q1.xlsx,24.115.58.119;31.78.255.239,6-15,19.52,iOS 18,D4:F7:F1:7C:E9:4A,Modbus/TCP
u_0034,user,Mumbai,India,dashboard:kibana;repo:backend-service;printer:office_3;file:/home/shared/contracts;email:exchange-server;vpn:gateway_1;endpoint:/admin/config,215.250.76.115;138.247.176.86,8-17,10.34,FirmwareOS 4.0,C1:E9:A4:60:7A:C4,SSH
u_0035,user,Moscow,Russia,vpn:gateway_1;repo:frontend-app;repo:backend-service,33.169.51.224,7-15,24.58,FirmwareOS 3.2,07:49:D1:4F:26:F0,MQTT
u_0036,user,Tokyo,Japan,files/reports/Q1.xlsx;bucket:s3-backups;email:exchange-server;endpoint:/api/v2/refunds;dashboard:kibana;file:/home/shared/contracts;printer:office_3,159.35.120.162,9-18,18.21,iOS 18,74:2E:DE:32:33:E3,SSH
u_0037,user,Singapore,Singapore,/api/v1/orders;endpoint:/admin/config;email:exchange-server,106.92.87.45;21.195.123.128;150.73.118.119,7-14,14.82,Windows 11,EE:93:50:25:E2:B0,RDP
u_0038,user,Singapore,Singapore,endpoint:/api/v2/payments;files/hr/payroll.csv;file:/home/shared/contracts;dashboard:grafana;/api/v1/orders;printer:office_3,180.151.11.251;213.202.140.3,8-17,13.55,EmbeddedLinux 5.1,19:FE:92:75:B4:70,SFTP
u_0039,user,Mumbai,India,endpoint:/admin/config;endpoint:/api/v2/refunds;/api/v1/orders;printer:office_3;repo:backend-service;/api/v1/users;vpn:gateway_1,188.67.46.233;76.167.212.45,6-15,27.35,Android 15,8B:54:83:F6:97:AD,HTTPS
u_0040,user,Dubai,UAE,repo:backend-service;bucket:s3-backups;vpn:gateway_1,68.63.232.95,6-14,38.74,iOS 18,C3:BE:37:77:F1:0C,RDP
u_0041,user,Cape Town,South Africa,files/reports/Q1.xlsx;endpoint:/api/v2/refunds;bucket:s3-backups;dashboard:grafana;repo:frontend-app,12.19.155.127,9-16,27.45,FirmwareOS 4.0,45:C6:E8:BD:D6:4F,Modbus/TCP
u_0042,user,London,UK,/api/v1/orders;repo:frontend-app;email:exchange-server;files/hr/payroll.csv;dashboard:grafana;printer:office_3,95.183.31.102;71.97.62.243;218.232.46.170,8-15,26.88,Ubuntu 24.04,0A:19:AA:7C:40:69,HTTPS
u_0043,user,Cape Town,South Africa,endpoint:/api/v2/refunds;repo:backend-service;files/reports/Q1.xlsx;printer:office_3,34.128.89.29,6-14,20.79,Windows 11,B7:79:A5:08:59:87,HTTPS
u_0044,user,Paris,France,files/reports/Q1.xlsx;dashboard:grafana;printer:office_3;repo:backend-service;email:exchange-server;dashboard:kibana,158.22.154.118,9-18,20.06,Windows 11,1F:F5:CD:DA:37:FB,SFTP
